function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
iteration,8318,23452,85996,137630,73544,18842,116406,81978
find,1306200,1690482,2072734,2366846,2789686,1663812,1869860,3180906
push_back,960318,3835316,10270328,10475158,19933784,18729590,17685332,19765462
