function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
iteration,172808,150982,217608,370158,559756,152260,238320,174162
find,831988,759652,594000,885064,1174200,788290,684368,831052
insert,19210878,7903764,10401936,22208600,29776410,21004762,24548130,20270188
