function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
insert,185617908,370846436,853731136,1058299106,1045850988,42340556,44031542,47602882
iteration,156334,343742,710592,875076,861578,155696,99238,91450
push_front,14556252,14385514,16177336,17747706,23336116,11528510,13124952,15102822
find,49448780,87268304,196012056,227511800,233184688,13415048,21028396,25926414
push_back,13722382,19143956,17094906,20388256,24982516,15709760,13361962,16386832
