function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
iteration,1940,4440,4462,6050,9168,2052,2084,2956
find,904,904,890,928,920,888,908,942
insert,104304,108610,101546,135990,233022,123358,123170,120548
