function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
insert,191758,205784,223350,242914,276126,218272,221674,253356
iteration,2468,4818,4990,5030,5428,2700,3610,3376
push_front,35840,37002,50836,59732,96988,59898,70034,86712
find,44902,49664,49578,65514,63318,54916,71450,69610
push_back,47738,62012,92134,114344,201740,76018,76700,102008
