function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
iteration,6304,8564,9658,11492,11736,6084,7660,7504
find,1028,1028,1138,1402,1332,1200,1010,1112
insert,63016,92418,119390,146838,240544,85710,106234,145780
