function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
iteration,678248,618234,879452,2448418,2340664,576956,1088412,776818
find,3203818,1798694,2558522,3760016,2179566,2403050,2842962,1987820
insert,84031470,28383486,49210386,81350516,113130480,75726784,98846940,63866696
