function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
iteration,23200,131466,184520,699570,278880,61236,132988,298680
find,7781896,13021444,19504718,25898666,29459430,9243304,15771690,32696648
push_back,3226998,17936634,39014720,59722472,77958250,66174468,67690458,73903744
