function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
iteration,131482,691466,432726,1281882,1671008,143108,208186,412528
find,637236,776384,157944,252646,880290,386178,767348,497122
insert,54713488,63600122,67427100,79832656,103967924,57190330,52936728,57810514
