function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
insert,5804638512,7917097946,13696953638,16503730586,16394254990,5321871322,5419015712,5628024740
iteration,1086054,1431504,2771792,3130354,3400044,1256606,1266562,1304978
push_front,91754882,102996854,141591080,56975582,69922752,84160814,85619602,127012572
find,1335696674,1455613964,2712140644,3164250988,3474618232,1318489262,1326203682,1398205528
push_back,94902446,118449036,149170998,63127440,73336232,93028346,93940164,135610720
