function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
iteration,699346,521926,562406,750970,1560374,646606,555274,736332
find,616544,45114,53650,70684,78142,53782,45232,44510
insert,3030964,4687764,8991848,7588848,10959974,4103014,5251576,5445122
