function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
iteration,11256,41218,95318,219226,377522,44562,87838,520398
find,1346410,1452144,2383722,2778050,3035126,2548720,2579096,6851906
push_back,835892,2050410,4458554,6201228,15394412,3154728,2825382,6802140
