function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
insert,1501694178,2234921558,2516158880,2628712298,2801166512,1598673636,1581640736,1597175950
iteration,877024,737768,755362,875956,715058,626156,1097476,961542
push_front,1319424,1698434,1489570,3245626,5932478,3006508,2278204,3853698
find,483840428,560949646,608870550,640608840,621373338,548162580,546884968,524418720
push_back,1634304,2396250,3136246,4203370,6973086,2129880,2266070,3235072
