function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
iteration,86198,199392,196246,355530,1653898,137668,145110,408204
find,29004,121188,29032,29530,196070,30628,30634,32544
insert,2600404,2853706,3800156,5533050,9354130,3270394,2981176,4234076
