function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
iteration,8666,9128,12944,29748,42424,7870,5638,9544
find,5202,1124,5454,1182,8702,2766,1184,1620
insert,1588124,1045034,1520704,1669774,1958050,1642274,1536768,1545844
