function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
insert,2328564,3121364,5875726,8126712,8710218,1629202,1540788,1589924
iteration,10888,22758,34184,53006,64934,5074,6886,9120
push_front,1841088,901014,1752276,1698118,1876794,1599592,1349800,1646108
find,305428,613718,1139900,1652774,2397060,255320,227744,291000
push_back,1363018,1461810,1942438,1923108,2124568,1576264,1512458,1811650
