function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
iteration,11758,8090,16516,25400,38964,10112,17272,13536
find,23170,65070,54016,61052,63420,57480,24780,63654
insert,1450144,563146,915000,1512388,2197746,1941236,2001748,2047796
