function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
insert,58827308,87992544,147719472,175637464,152749898,57202904,57636718,57338118
iteration,97416,156788,222660,246656,245366,99650,140980,142674
push_front,511120,540198,638188,759098,2017748,909348,950874,1325132
find,19955146,29865552,49799268,54171740,56540274,18233584,28679770,31798384
push_back,677152,879368,1265920,2082746,2751454,1067312,1041968,1362476
