function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
iteration,58750,119970,100768,190838,144028,61958,101414,101914
find,11124,9596,9552,10820,9232,9070,10800,8598
insert,635564,1022490,1930270,1812942,2559348,968868,1173634,1290108
