function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
iteration,22668,48188,47800,89978,135740,27042,28288,62840
find,8546,7928,8190,7902,8306,8178,8066,8004
insert,712120,912194,1230880,1387822,2543060,790508,780072,1047516
