function,int64,small,medium,large,extreme,ptr_8,ptr_40,ptr_248
insert,1805614,29277894,70731788,114538896,175777718,12837958,15035152,13156152
iteration,2598,9754,18012,23390,23932,10482,14440,26212
push_front,3700184,61012200,151059962,244734956,358997506,24417350,29296394,24581486
find,1247666,1513596,3011438,5099310,5145212,3471120,2972456,6577592
push_back,424156,893960,1849568,2808716,4203850,779212,838612,2350910
